Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,62.2953,NA,27.71340000000000,26.66920000000000,0.00000000000000,0.06190000000000,10.7264,34.5819,27.7134,27.7134,0.0000,0.0434,27.7319,0.1719,27.5600,NA,34.5819,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,100.6246,NA,38.32930000000000,39.97900000000000,0.00000000000000,0.03960000000000,12.3761,62.2953,38.3293,38.3293,0.0000,0.0619,38.3070,0.1761,38.1309,-12.2656,62.2953,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,127.2512,NA,26.62660000000000,26.64610000000000,0.00000000000000,0.01740000000000,12.3956,100.6246,26.6266,26.6266,0.0000,0.0396,26.6044,0.1542,26.4502,11.6832,100.6246,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,140.3441,NA,13.09290000000000,13.29400000000000,0.00000000000000,0.02370000000000,12.5967,127.2512,13.0929,13.0929,0.0000,0.0174,13.0992,0.1453,12.9539,13.3326,127.2512,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,155.0129,NA,14.66880000000000,13.40620000000000,0.00000000000000,0.03970000000000,11.3341,140.3441,14.6688,14.6688,0.0000,0.0237,14.6848,0.1415,14.5433,-0.3133,140.3441,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,180.7257,NA,25.71280000000000,26.60350000000000,0.00000000000000,0.04960000000000,12.2248,155.0129,25.7128,25.7128,0.0000,0.0397,25.7227,0.1461,25.5766,-11.9347,155.0129,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,208.3718,NA,27.64610000000000,26.78180000000000,0.00000000000000,0.01230000000000,11.3605,180.7257,27.6461,27.6461,0.0000,0.0496,27.6088,0.1864,27.4224,-1.0690,180.7257,NA,NA,NA
Code.exe,32244,0x192F39360C0,DXGI,0,0,0,Composed: Flip,154.1414,NA,123.22920000000001,119.99450000000000,0.34520000000000,0.42700000000000,12.2056,31.2222,123.2644,122.9192,0.3452,123.0346,0.3116,0.3054,0.0062,NA,31.2222,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,236.1052,NA,27.73340000000000,26.65930000000000,0.00000000000000,0.00990000000000,10.2864,208.3718,27.7334,27.7334,0.0000,0.0123,27.7310,0.1651,27.5659,0.9868,208.3718,NA,NA,NA
<unknown>,6928,0x0,Other,-1,0,0,Hardware: Legacy Flip,262.1442,NA,26.03900000000000,26.66720000000000,0.00000000000000,0.00880000000000,10.9146,236.1052,26.0390,26.0390,0.0000,0.0099,26.0379,0.1275,25.9104,1.0662,236.1052,NA,NA,NA
