unix_time,frontend_0_100,sent_0_100,vjoy_axis,sim_connect
1778443244.113429,1.008,1.008,330,0.0
1778443244.114939,3.148595,3.148595,1031,0.0
1778443244.120495,1.98704,1.98704,651,0.0
1778443244.156751,4.420764,4.420764,1448,0.0
1778443244.158260,5.790272,5.790272,1897,0.0
1778443244.210471,9.990868,9.990868,3273,0.0
1778443244.211474,7.245439,7.245439,2374,0.0
1778443244.211974,8.625987,8.625987,2826,0.0
1778443244.234577,11.341964,11.341964,3716,0.0
1778443244.236589,12.580928,12.580928,4122,0.0
1778443244.258739,13.821217,13.821217,4528,0.043399
1778443244.264253,15.012671,15.012671,4919,0.043399
1778443244.311707,17.509812,17.509812,5737,0.043399
1778443244.314168,16.26115,16.26115,5328,0.043399
1778443244.320325,18.808635,18.808635,6163,0.043399
1778443244.340923,20.101599,20.101599,6586,0.043399
1778443244.365570,21.389407,21.389407,7008,0.033303
1778443244.372092,22.622678,22.622678,7412,0.033303
1778443244.404702,25.133002,25.133002,8235,0.033303
1778443244.409111,23.957957,23.957957,7850,0.033303
1778443244.412329,26.317042,26.317042,8623,0.033303
1778443244.473500,29.730247,29.730247,9741,0.045706
1778443244.475503,27.458997,27.458997,8997,0.045706
1778443244.477014,28.613917,28.613917,9375,0.045706
1778443244.595312,30.812617,30.812617,10096,0.057699
1778443244.596581,31.815103,31.815103,10424,0.057699
1778443244.596581,32.797291,32.797291,10746,0.057699
1778443244.597596,35.683715,35.683715,11692,0.057699
1778443244.598102,33.811616,33.811616,11079,0.057699
1778443244.598102,34.754222,34.754222,11387,0.057699
1778443244.672895,36.65167,36.65167,12009,0.094068
1778443244.673896,37.603469,37.603469,12321,0.094068
1778443244.675400,38.591053,38.591053,12645,0.094068
1778443244.675400,39.560127,39.560127,12962,0.094068
1778443244.676620,40.562911,40.562911,13291,0.094068
1778443244.677125,41.545362,41.545362,13613,0.094068
1778443244.727228,43.358728,43.358728,14207,0.094068
1778443244.730236,42.509919,42.509919,13929,0.094068
1778443244.751642,44.906999,44.906999,14714,0.155487
1778443244.784193,46.19998,46.19998,15138,0.155487
1778443244.815327,47.295265,47.295265,15497,0.155487
1778443244.849180,48.187453,48.187453,15789,0.200856
1778443244.893293,49.16296,49.16296,16109,0.200856
1778443244.975676,49.998412,49.998412,16382,0.211665
1778443245.154990,50.865536,50.865536,16667,0.222288
1778443245.264168,51.681886,51.681886,16934,0.347859
